,A_LFQ,B_LFQ,A,B
sp|Q9NVA2|SEP11_HUMAN,225204439.47545326,235109831.50848868,224209309.07847947,236104961.9054625
sp|P53618|COPB_HUMAN,243615716.87949538,245001341.89962852,243258674.93396255,245358383.84516132
sp|Q96BN8|OTUL_HUMAN,51033671.21586925,49628066.55418458,51287528.68968525,49374209.08036857
sp|P08559|ODPA_HUMAN,198040503.59490693,184179499.08874288,197358113.6787815,184861889.00486833
sp|Q99733|NP1L4_HUMAN,369093101.8427185,347827098.74816424,378182197.92625093,338738002.6646317
sp|P49006|MRP_HUMAN,20326363.595221724,24549079.295876976,21844565.947336793,23030876.943761908
sp|P19404|NDUV2_HUMAN,10080248.519231489,10161234.090083538,10101381.926336793,10140100.682978233
sp|O43837|IDH3B_HUMAN,58446228.59500741,58485202.17868267,57426078.646546505,59505352.12714358
sp|Q9H7E9|CH033_HUMAN,9013431.09291255,8219351.6261508735,10520901.326124214,6711881.392939212
sp|P06753|TPM3_HUMAN,262700915.2325585,269108908.13603926,235981431.63531712,295828391.73328066
sp|P55060|XPO2_HUMAN,413903139.91665924,414016594.18702173,395686110.7575784,432233623.3461026
sp|Q9Y277|VDAC3_HUMAN,15265868.443965312,13985847.100209355,14882561.844088778,14369153.70008589
sp|O43395|PRPF3_HUMAN,26545424.061810907,28195974.16616248,25694500.85751302,29046897.37046037
sp|Q12888|TP53B_HUMAN,122397623.15877147,127761202.67356567,126420943.99500708,123737881.83733004
sp|Q8NFC6|BD1L1_HUMAN,10794610.8966027,11636596.639022503,13740749.62302685,8690457.912598353
sp|P78362|SRPK2_HUMAN,5171453.874927078,5424335.197747498,5368110.914006777,5227678.158667799
sp|O15382|BCAT2_HUMAN,21316793.256560672,21617425.29326547,20443073.053125568,22491145.49670057
sp|P67809|YBOX1_HUMAN,262534404.158017,208895124.56846178,261575488.52286917,209854040.2036096
sp|O60784|TOM1_HUMAN,7050753.451749182,5190871.412254766,8363929.926929177,3877694.937074771
sp|P12270|TPR_HUMAN,476651488.00551033,460388215.44741374,477756579.4304702,459283124.0224539
sp|P31327|CPSM_HUMAN,1191201391.8603075,1182731172.2061656,1246001663.7935452,1127930900.272928
sp|Q7Z6E9|RBBP6_HUMAN,1357900.27962914,2029036.8048066578,1051628.772783442,2335308.311652356
sp|Q9UBQ7|GRHPR_HUMAN,172878427.95752472,176472348.9765728,164385407.26757866,184965369.66651887
sp|P46821|MAP1B_HUMAN,635946589.8149246,623725499.670911,660613105.6056094,599058983.8802261
sp|P06454|PTMA_HUMAN,245508680.43308708,,245508680.43308708,
sp|Q01995|TAGL_HUMAN,506745522.6260434,497871851.2230945,512576147.9555291,492041225.8936088
sp|P20962|PTMS_HUMAN,126021158.55265376,127994622.41617814,138167496.03444177,115848284.93439013
sp|P11586|C1TC_HUMAN,1059350600.8707061,1072214307.0381852,962109688.3348472,1169455219.5740442
sp|O95425|SVIL_HUMAN,11639854.616642663,11021540.394546688,11276326.125538152,11385068.885651201
sp|Q9HCS7|SYF1_HUMAN,9076813.035462514,9448324.061424606,9329945.826359764,9195191.270527357
sp|Q9NVM6|DJC17_HUMAN,5781795.5866666045,6176730.661942808,7416780.8797711525,4541745.368838262
sp|Q9UHV9|PFD2_HUMAN,188608980.26917386,156881113.22357857,184121515.43512785,161368578.0576246
sp|O94906|PRP6_HUMAN,116506429.71971644,115559939.64069608,121535164.73499142,110531204.6254211
sp|P35232|PHB_HUMAN,428513534.0121741,441068406.7566629,433535100.9239212,436046839.8449158
sp|Q08379|GOGA2_HUMAN,103969869.88820827,102394640.60356525,104372992.2986753,101991518.19309822
sp|P78318|IGBP1_HUMAN,43221619.75472714,41113800.00992111,44075880.47404175,40259539.29060649
sp|P33176|KINH_HUMAN,361128334.28631866,357187742.8952711,363782055.99032736,354534021.19126236
sp|P35606|COPB2_HUMAN,214624029.40087968,208496357.9763283,211619132.76431954,211501254.61288846
sp|Q9BY42|RTF2_HUMAN,33775345.10924409,31306092.983553287,34876236.46097426,30205201.631823115
sp|Q10471|GALT2_HUMAN,21993108.079506032,22819086.926314835,21909001.956087053,22903193.049733818
sp|Q9NUQ6|SPS2L_HUMAN,29892259.89782467,32554706.18174174,30756804.365723755,31690161.713842656
sp|Q86VP6|CAND1_HUMAN,236603350.4257291,249066699.6698921,230274316.15880978,255395733.93681145
sp|O00273|DFFA_HUMAN,73878177.32917954,69343206.05701014,76935520.76663457,66285862.619555146
sp|Q9UQ35|SRRM2_HUMAN,231003654.057044,234141036.884197,224119019.2851931,241025671.65604794
sp|P31040|SDHA_HUMAN,409779464.4214497,409859814.5139436,397971392.7006285,421667886.2347648
sp|Q8WX93|PALLD_HUMAN,274636774.966908,281493095.3585097,276389186.6457706,279740683.6796471
sp|Q96CT7|CC124_HUMAN,64888778.725062035,62533359.214534864,64067742.10243355,63354395.837163344
sp|Q9UKD2|MRT4_HUMAN,59356600.088052586,60378661.59585683,45962989.0585316,73772272.62537782
sp|P19623|SPEE_HUMAN,118763138.92664069,114870194.00267027,112610344.61998999,121022988.30932099
sp|Q9BZV1|UBXN6_HUMAN,,,1545894.0921937916,3076258.6298911166
sp|O75175|CNOT3_HUMAN,11590701.764339112,10358781.704784779,12541315.321238982,9408168.147884913
sp|Q9NSD9|SYFB_HUMAN,124935717.16724291,134146589.07335779,113450234.35972242,145632071.8808783
sp|P22102|PUR2_HUMAN,492600818.4661598,497531431.26007605,496786389.1339256,493345860.5923103
sp|P56182|RRP1_HUMAN,7076520.791523052,9028957.486371448,7226774.650258156,8878703.627636347
sp|P28838|AMPL_HUMAN,93664548.09112361,93076427.74494925,87328189.27927187,99412786.556801
sp|Q99459|CDC5L_HUMAN,119515786.27234752,122786960.46114586,125286247.19015728,117016499.5433361
sp|O75533|SF3B1_HUMAN,328393849.05181396,338413022.47985554,349631909.2241367,317174962.3075328
REV__sp|Q13085|ACACA_HUMAN,421825.33947498567,,421825.33947498567,
sp|Q13144|EI2BE_HUMAN,6812383.17054623,7172771.950384741,6464295.366747431,7520859.754183538
sp|Q9BQ69|MACD1_HUMAN,35076510.77023039,35831220.003345326,35906841.81677681,35000888.956798896
sp|O75369|FLNB_HUMAN,5274240033.569706,5335036319.671274,5292647901.324854,5316628451.916126
sp|P33316|DUT_HUMAN,344071847.06933117,342319243.76446897,374005222.6747408,312385868.1590594
sp|P52758|RIDA_HUMAN,10465014.64430629,7269440.18976042,10199824.535202442,7534630.298864268
sp|Q8TEX9|IPO4_HUMAN,61913327.55922361,63775015.339572035,59001176.97334933,66687165.92544632
sp|Q15833|STXB2_HUMAN,5593895.242677185,8448370.824323758,6884257.218604473,7158008.848396472
sp|Q9UQ80|PA2G4_HUMAN,858760147.0127906,861931918.8645638,850923833.8426777,869768232.0346767
sp|P78371|TCPB_HUMAN,1108289233.2571833,1069886685.3242805,1201071961.3065505,977103957.2749131
sp|P61764|STXB1_HUMAN,37729753.58446284,35480842.98218436,34040709.94081412,39169886.62583309
sp|Q2TAY7|SMU1_HUMAN,155567992.32937014,157409338.88259113,155440593.38023514,157536737.83172613
sp|P35637|FUS_HUMAN,464580345.0291107,466786403.9295139,439302818.49987304,492063930.4587516
sp|Q9P2E9|RRBP1_HUMAN,77849251.69907868,78025380.48308176,65040046.08523832,90834586.0969221
sp|O14744|ANM5_HUMAN,139572194.03831786,136949963.56611875,140207938.6353159,136314218.96912068
sp|Q8IUD2|RB6I2_HUMAN,37481621.39652417,44379197.9344323,17951303.080001682,63909516.250954784
sp|Q15149|PLEC_HUMAN,6049277092.655505,6070656492.622218,5962296624.932497,6157636960.345226
sp|Q8IVF2|AHNK2_HUMAN,288469928.025184,301456652.3286235,293148380.29935503,296778200.05445236
sp|Q68EM7|RHG17_HUMAN,60646757.69275583,63191993.34800542,51377369.815498814,72461381.22526243
sp|P34897|GLYM_HUMAN,294055669.91219187,302365146.37975466,310320901.4757716,286099914.8161749
sp|Q12788|TBL3_HUMAN,62662432.81715763,60404597.943682216,65176987.47938455,57890043.2814553
sp|Q92879|CELF1_HUMAN,69656477.65411538,69064464.04680346,68874179.77702665,69846761.92389217
sp|P11766|ADHX_HUMAN,307521098.34435,345704312.85414386,312063263.8488046,341162147.3496892
"P08727,sp|P08727|K1C19_HUMAN",268868282.3395512,288458640.9062243,274205079.46568185,283121843.7800937
sp|Q96FS4|SIPA1_HUMAN,3502086.326321737,,3502086.326321737,
sp|Q9NRV9|HEBP1_HUMAN,54045717.99339888,49466042.62515281,53982470.67414464,49529289.944407046
sp|P09601|HMOX1_HUMAN,43589501.056179486,43809105.08330294,40224565.31986685,47174040.81961557
sp|P11172|UMPS_HUMAN,62402707.687206,64860157.041250825,62044131.04871927,65218733.679737546
sp|P41227|NAA10_HUMAN,141859015.47120035,144174259.73217234,114376455.36731614,171656819.83605656
sp|Q13813|SPTN1_HUMAN,2005247196.3940518,2006888347.6974936,1901612643.717814,2110522900.3737314
sp|P78346|RPP30_HUMAN,28043513.27563219,26621101.14903851,29408176.29673506,25256438.127935637
sp|P07814|SYEP_HUMAN,1053375526.7643387,1028984740.3913882,1059148203.2329978,1023212063.922729
sp|Q14980|NUMA1_HUMAN,601536800.7388717,593538464.9936827,623636623.9805976,571438641.7519569
sp|Q9P287|BCCIP_HUMAN,76822213.46971539,74130903.36981906,79735012.68922575,71218104.15030871
sp|Q8WVV9|HNRLL_HUMAN,34005198.23804562,31276972.94026549,36888917.38847511,28393253.789835997
sp|Q7Z6Z7|HUWE1_HUMAN,201175931.33549803,200713737.33202606,208319195.00942653,193570473.65809754
sp|P50583|AP4A_HUMAN,13601621.421551641,18598774.486199997,10893689.155353516,21306706.752398122
sp|P62851|RS25_HUMAN,248914151.51841444,248264214.7489983,259415983.6306191,237762382.63679367
sp|Q9UNQ2|DIM1_HUMAN,4497861.87295953,4621754.993023836,4550947.849605802,4568669.016377564
sp|P78527|PRKDC_HUMAN,472463478.83987695,481175349.0983465,474257363.3792378,479381464.5589856
sp|O95831|AIFM1_HUMAN,58474525.23436712,58278372.86278698,55544434.57926315,61208463.517890945
sp|Q04637|IF4G1_HUMAN,609944324.7702919,633665886.81605,578179612.5620975,665430599.0242445
sp|Q13362|2A5G_HUMAN,1961051.6214509853,1339859.6861946026,1961051.6214509853,1339859.6861946029
sp|P61201|CSN2_HUMAN,99897582.97919779,97377269.46833673,89925792.95926227,107349059.48827225
sp|Q6Y7W6|GGYF2_HUMAN,24135160.350717764,26914530.60718486,24559432.586478613,26490258.371424012
sp|P55084|ECHB_HUMAN,118815488.75385979,121546957.4483736,122920321.59981334,117442124.60242003
P34955,681758123.9282224,655188106.7227585,703192235.2151159,633753995.435865
sp|Q9BS40|LXN_HUMAN,7105756.176077628,7646836.352697263,9080811.27328353,5671781.255491361
sp|Q9BUF5|TBB6_HUMAN,359545614.12908214,341728658.2219592,368521713.91622,332752558.43482137
sp|O43747|AP1G1_HUMAN,25665457.554686185,26808899.06786839,23196762.264880173,29277594.3576744
sp|P54920|SNAA_HUMAN,212643406.31891054,209175086.37152237,228145081.03667012,193673411.65376282
sp|Q08211|DHX9_HUMAN,816725915.834033,805502558.8976305,772556859.2550797,849671615.4765837
sp|Q10567|AP1B1_HUMAN,223077805.16819808,245510660.8000267,227418923.77651328,241169542.19171146
sp|Q8NE71|ABCF1_HUMAN,88172008.34586976,86681463.49822319,89475545.02153832,85377926.82255462
sp|P42765|THIM_HUMAN,131041750.95729433,134341539.87034565,140786288.64934143,124597002.17829856
sp|P25787|PSA2_HUMAN,148147895.07847446,142272472.4909542,149739589.84343573,140680777.7259929
sp|P46063|RECQ1_HUMAN,193790492.70208806,189600062.66939333,194305654.6311116,189084900.74036986
sp|Q9BV44|THUM3_HUMAN,13587535.153095217,12496571.453926934,10404809.517095758,15679297.089926396
sp|Q9Y4L1|HYOU1_HUMAN,279820200.89921534,273306326.9626574,313807991.8608856,239318536.00098708
sp|Q9Y6E0|STK24_HUMAN,51719956.489685066,51448818.38543521,51301123.216249675,51867651.6588706
sp|Q9UBP6|TRMB_HUMAN,17210269.820056412,9915916.672616376,16829025.722741224,10297160.769931566
sp|Q96GQ7|DDX27_HUMAN,22804512.720769424,21956096.11511624,23455742.498700857,21304866.33718481
sp|Q96TA1|NIBA2_HUMAN,256130261.42629674,259516272.85658073,226073000.22946817,289573534.05340934
sp|Q15181|IPYR_HUMAN,316717193.374229,321589431.4101951,269222371.9731007,369084252.81132334
sp|Q15233|NONO_HUMAN,1071773775.156974,1146512504.7783172,1090579310.544227,1127706969.3910644
sp|P49327|FAS_HUMAN,4530684373.993275,4521489332.435265,4596447644.679466,4455726061.749074
sp|Q5T6F2|UBAP2_HUMAN,48098384.37900369,48868730.84381482,48486148.98452204,48480966.23829647
sp|O75694|NU155_HUMAN,241192615.1392787,233936685.64969677,239781658.67761713,235347642.11135837
sp|Q9BRP8|PYM1_HUMAN,9988330.653569043,11325865.742631849,9988330.653569043,11325865.742631849
sp|Q9UKV3|ACINU_HUMAN,189029161.86415637,196041903.85741264,208223582.71385866,176847483.00771034
sp|P06132|DCUP_HUMAN,42782067.97766182,42669489.01799316,40264318.26657097,45187238.72908401
sp|P62995|TRA2B_HUMAN,114859363.23643489,121074713.23146498,98434643.1943906,137499433.27350926
sp|P04075|ALDOA_HUMAN,3540175236.818284,3551913054.1427293,3632784274.7221336,3459304016.23888
sp|P09622|DLDH_HUMAN,207888802.67748976,199342076.99594998,213667685.5283354,193563194.14510435
sp|P52789|HXK2_HUMAN,41549132.13107517,44217892.21501419,43455892.7519588,42311131.59413056
sp|Q96PK6|RBM14_HUMAN,224138783.56135735,229157663.9360843,227185035.62630484,226111411.87113684
sp|P30622|CLIP1_HUMAN,23160647.178496443,23860528.51578984,23315468.062272374,23705707.632013917
sp|Q8IVM0|CCD50_HUMAN,11792475.30528865,9986316.222535223,12374516.461219018,9404275.066604855
sp|Q96I24|FUBP3_HUMAN,219062798.39467987,229304683.09166473,222397511.8228356,225969969.66350895
sp|O00116|ADAS_HUMAN,86673669.3288,91196011.5813781,88613093.7765775,89256587.1336006
sp|O75367|H2AY_HUMAN,186728987.69778487,185462184.4889591,176911433.7601974,195279738.4265466
sp|Q9UKM9|RALY_HUMAN,294054872.35877997,310108399.7955675,289715566.52457356,314447705.6297738
sp|P13861|KAP2_HUMAN,69968164.15531698,69715810.40992868,65185275.677698076,74498698.88754754
sp|P62258|1433E_HUMAN,1082455145.148186,1208678070.4604423,1090884567.474135,1200248648.1344936
sp|P09525|ANXA4_HUMAN,52568456.764793225,52389497.48277781,57770861.37798287,47187092.86958817
sp|P23588|IF4B_HUMAN,347574021.8863941,364676135.02843326,306221783.9566125,406028372.9582149
sp|Q9Y5B9|SP16H_HUMAN,349342418.10467386,364272457.39576614,344406722.1419637,369208153.3584763
sp|O96007|MOC2B_HUMAN,1159326.4471414192,897514.7228782716,1471272.6906595225,585568.4793601681
sp|Q9Y3F4|STRAP_HUMAN,430776292.40244853,443675079.48872983,449498920.5371554,424952451.354023
sp|Q8WUF5|IASPP_HUMAN,25582956.152267,22916170.209980387,25988391.64969382,22510734.712553572
sp|Q6P1J9|CDC73_HUMAN,21249852.222219486,20072789.623424314,19799527.26069002,21523114.584953777
sp|Q9H3U1|UN45A_HUMAN,195917864.80306253,187985089.8179956,160082386.73226774,223820567.88879043
sp|P55263|ADK_HUMAN,88132322.68809564,91945364.75741722,85462830.3514911,94614857.09402177
sp|Q9HCC0|MCCB_HUMAN,13355279.96319575,13544525.265901953,13131894.106101232,13767911.122996472
sp|P58107|EPIPL_HUMAN,1189008330.9543567,1198974793.5738213,1244204195.9535165,1143778928.5746613
Q03247,49003641.77137361,50160405.89509213,43333905.090838395,55830142.57562734
sp|Q53H96|P5CR3_HUMAN,23307286.116556566,19010459.31591548,22763266.39746765,19554479.0350044
sp|P80303|NUCB2_HUMAN,10421145.924256919,10182897.307526486,13082282.597800022,7521760.633983385
sp|Q14204|DYHC1_HUMAN,1019777269.292702,1034963396.2117059,1004708195.7696952,1050032469.7347126
sp|Q15436|SC23A_HUMAN,137521442.86755475,146915180.52848217,137309848.13121986,147126775.26481706
sp|P22314|UBA1_HUMAN,1611536594.168543,1663461829.4390469,1630754285.5751004,1644244138.0324893
sp|O75152|ZC11A_HUMAN,6625078.394347753,6476483.714624763,6855198.841267167,6246363.26770535
sp|P13804|ETFA_HUMAN,367967617.70103157,374080802.46795976,357355374.98282534,384693045.186166
sp|Q13155|AIMP2_HUMAN,71439454.83893368,71119293.97988228,73199641.53189737,69359107.28691861
sp|P10809|CH60_HUMAN,3460834197.718366,3237006953.80021,3516022841.5489717,3181818309.9696045
sp|Q14974|IMB1_HUMAN,801997832.3373073,817979625.7685323,781925333.6916274,838052124.4142123
sp|Q99460|PSMD1_HUMAN,329783141.43879664,335214738.6052919,332177341.7611588,332820538.28292966
sp|Q01844|EWS_HUMAN,150067090.47240952,150106858.88750613,149577978.627948,150595970.7319677
sp|Q9UHI6|DDX20_HUMAN,20808860.747286867,19985910.017231178,24078305.095926814,16716465.668591231
sp|Q86V81|THOC4_HUMAN,182026120.4785741,176485817.68038586,191911822.97109172,166600115.1878683
sp|Q9NR30|DDX21_HUMAN,161771375.3637615,173281043.23740697,154179353.6324845,180873064.96868396
sp|Q6P2Q9|PRP8_HUMAN,261877947.50957423,266286622.0541156,254499130.15233433,273665439.4113555
sp|Q8N8S7|ENAH_HUMAN,106434223.1110759,109907523.49160573,105529753.18364272,110811993.41903894
sp|P19338|NUCL_HUMAN,1807206114.8482075,1837849659.377121,1867267329.3253202,1777788444.900008
Q3SX09,358029176.6250106,356360255.8947787,369419795.766036,344969636.7537533
sp|P35611|ADDA_HUMAN,28565236.961468063,28467119.257697966,21442195.884888113,35590160.33427791
Q2UVX4,59723760.88302784,75124023.81572174,61867205.54292389,72980579.15582567
sp|P11310|ACADM_HUMAN,67490824.90160204,67127330.41719685,59728419.60861765,74889735.71018124
sp|P09884|DPOLA_HUMAN,22783343.845700156,23979783.804080438,22513516.91025138,24249610.739529215
sp|P02545|LMNA_HUMAN,3187831925.431292,3216123837.1524396,2990767071.4191494,3413188691.1645823
sp|P05141|ADT2_HUMAN,148135565.85918748,157108222.0009237,133686691.54710068,171557096.3130105
sp|P12236|ADT3_HUMAN,16334761.99794424,16132536.299255056,14735622.831869397,17731675.4653299
sp|Q14839|CHD4_HUMAN,157527861.55443174,159745476.07691032,154873398.93372494,162399938.69761714
sp|P04083|ANXA1_HUMAN,1096731929.363805,1075171093.8813074,1143416118.9360552,1028486904.3090571
sp|Q8N163|CCAR2_HUMAN,109589750.56310987,109974087.33063975,107711916.68799269,111851921.20575698
sp|P54136|SYRC_HUMAN,332469171.88966703,330504451.2880437,328217206.8412437,334756416.3364671
sp|Q9BUH6|PAXX_HUMAN,21649895.87567575,24171797.32112913,22358706.314035457,23462986.882769424
sp|Q8TDX7|NEK7_HUMAN,35074089.2859189,37384365.60527774,35958885.9151996,36499568.97599704
sp|O94905|ERLN2_HUMAN,16201404.607599346,11246764.93525785,16860496.80217944,10587672.740677759
sp|Q15836|VAMP3_HUMAN,13635129.6532008,14401615.434827968,11614909.023050826,16421836.064977944
sp|Q6NYC1|JMJD6_HUMAN,9810066.53248663,8526823.371516468,11445479.129506625,6891410.7744964715
sp|O75792|RNH2A_HUMAN,9269145.143324442,17092067.695381235,12643435.148007948,13717777.690697728
sp|Q9BQ52|RNZ2_HUMAN,66636364.94623307,59204469.38053659,64633818.059545256,61207016.26722442
sp|O95433|AHSA1_HUMAN,185544870.228905,183605909.28055263,182397849.74436185,186752929.76509577
sp|P49411|EFTU_HUMAN,655671866.5641874,635601594.8225226,654881308.7072277,636392152.6794823
sp|P42704|LPPRC_HUMAN,321718397.4960479,321137743.9134767,318778315.46535313,324077825.9441715
sp|Q7KZF4|SND1_HUMAN,680089637.1021019,673373102.3662982,602731401.5078231,750731337.9605771
sp|Q9Y2W2|WBP11_HUMAN,78032591.98413941,75586661.042937,80578204.18202373,73041048.84505269
sp|P11498|PYC_HUMAN,163111601.3849584,169156602.19087455,170902876.9319336,161365326.64389932
sp|P48739|PIPNB_HUMAN,84492044.25366288,83308592.75735082,85529019.12368992,82271617.88732375
sp|P61970|NTF2_HUMAN,141826809.35816252,138517581.6670174,140400200.00826067,139944191.01691926
sp|Q9NPD8|UBE2T_HUMAN,51728083.188278764,49885763.26987713,51684942.15826635,49928904.29988955
sp|Q96AT1|K1143_HUMAN,6151197.661418727,6335886.202687308,6151197.661418727,6335886.202687308
sp|Q06830|PRDX1_HUMAN,2914759428.998346,2903445025.133323,2895353523.431595,2922850930.700074
"sp|P39880|CUX1_HUMAN,sp|Q13948|CASP_HUMAN",272135.5399442404,,272135.5399442404,
sp|O00499|BIN1_HUMAN,32058592.522540633,36647670.631194845,38111321.33382341,30594941.819912057
sp|Q92791|SC65_HUMAN,7965461.072314377,6075625.969553493,8911522.396655517,5129564.645212352
sp|P35579|MYH9_HUMAN,6904582227.947664,6867624853.969639,6708663772.163712,7063543309.753592
sp|P00390|GSHR_HUMAN,100878179.37692755,99112365.74490671,103579045.84202626,96411499.27980803
sp|P26640|SYVC_HUMAN,319566107.21487045,315246204.0670144,302258342.73569715,332553968.54618776
sp|P35237|SPB6_HUMAN,211714767.54452512,216037534.41836292,210052894.53516132,217699407.42772666
sp|Q9H2M9|RBGPR_HUMAN,3545555.7182355416,4139079.9250738844,4795395.759582758,2889239.883726668
sp|Q07157|ZO1_HUMAN,65517101.844078936,64033396.084526315,65181267.012715004,64369230.91589026
sp|Q96A35|RM24_HUMAN,3829972.6362758195,10104041.54582747,3075257.461592541,10858756.720510751
sp|O94888|UBXN7_HUMAN,12972691.28329368,13000820.274511872,13571498.96074618,12402012.597059373
sp|P62241|RS8_HUMAN,210259699.31590727,211839224.53414685,209335467.10755762,212763456.7424965
sp|P62333|PRS10_HUMAN,169228848.2095576,161584402.85417905,186685824.76741427,144127426.29632238
sp|P08238|HS90B_HUMAN,6005415136.189766,6235945972.768712,6061863798.22167,6179497310.736806
sp|O75635|SPB7_HUMAN,3922217.2127655973,3211881.890504625,3922217.2127655973,3211881.890504625
sp|P08865|RSSA_HUMAN,647818624.4285448,699148043.5833492,698832256.8162136,648134411.1956804
sp|Q92743|HTRA1_HUMAN,61533993.961073235,59207211.604865514,65138022.98792482,55603182.57801392
sp|Q09666|AHNK_HUMAN,6412902332.488214,6605219746.355594,6195248522.900024,6822873555.943783
sp|P05198|IF2A_HUMAN,283988672.09859526,287116900.27983814,280923771.71747965,290181800.6609537
sp|P61221|ABCE1_HUMAN,157518039.52778685,155761602.6616858,154421078.27028286,158858563.91918984
sp|P52272|HNRPM_HUMAN,1360585061.7272408,1372847015.9877627,1417283809.784243,1316148267.9307604
sp|Q14469|HES1_HUMAN,563720.0547993324,1561766.5507602096,563720.0547993324,1561766.5507602096
sp|Q9H074|PAIP1_HUMAN,69697486.88899872,68743110.275049,75583922.89005525,62856674.27399245
sp|P56192|SYMC_HUMAN,213557879.71155214,222952843.89525273,203919156.14969388,232591567.457111
sp|P68036|UB2L3_HUMAN,242425533.70858425,252820477.66793153,240559542.25957885,254686469.11693692
sp|Q8N1G4|LRC47_HUMAN,137586795.27312562,142403958.55113626,133401444.29476757,146589309.52949426
"Q04695,sp|Q04695|K1C17_HUMAN",3891112275.536311,4074862561.167131,3213227613.6024876,4752747223.100954
sp|Q86XI2|CNDG2_HUMAN,4984343.468753377,4038270.063680843,5865124.4152654195,3157489.1171688004
sp|P99999|CYC_HUMAN,193487650.20676646,204022036.78858116,180056627.62530726,217453059.37004033
sp|Q8N3C0|ASCC3_HUMAN,7664682.238396197,13790409.816513473,6705679.094952954,14749412.959956717
sp|P08195|4F2_HUMAN,206890973.5691261,209617054.34154305,201170259.35104218,215337768.55962697
sp|Q15075|EEA1_HUMAN,108759857.56526203,108226673.29012632,40207369.049501404,176779161.80588695
sp|Q9H3Q1|BORG4_HUMAN,5030114.942727223,7637640.659543344,5335053.983142282,7332701.619128286
sp|P31930|QCR1_HUMAN,140771325.1006139,144064477.6445135,133167594.00780223,151668208.73732513
sp|Q14232|EI2BA_HUMAN,77251260.62001212,79034936.03034332,75853859.42109224,80432337.22926319
sp|P40939|ECHA_HUMAN,237030146.27244335,224118571.38406983,227833767.36176026,233314950.29475296
sp|P36871|PGM1_HUMAN,371561565.46381485,372291610.2447786,365765421.2343562,378087754.47423714
sp|P29144|TPP2_HUMAN,119965713.8140287,124919401.79566556,127186448.8895285,117698666.72016574
sp|Q9NX24|NHP2_HUMAN,44481779.514391914,38469298.19251357,46952202.65243609,35998875.0544694
sp|Q15014|MO4L2_HUMAN,7675917.607400054,7608512.103806493,8291456.774414508,6992972.936792039
sp|Q14683|SMC1A_HUMAN,205050236.3215515,205937087.88663033,193465941.1633314,217521383.04485047
sp|P62873|GBB1_HUMAN,170044861.1065983,158908289.88473094,150637018.66043258,178316132.33089668
sp|P52434|RPAB3_HUMAN,29113932.935144976,31716664.20503591,30728910.730851553,30101686.409329336
sp|Q00534|CDK6_HUMAN,1645250.334823546,,1645250.334823546,
sp|P62263|RS14_HUMAN,444917354.83032453,492707623.81738824,400662895.5082561,536962083.1394566
sp|Q9UKS6|PACN3_HUMAN,51819381.33578801,48769851.81136115,53007987.68059069,47581245.46655847
sp|Q14151|SAFB2_HUMAN,97109447.88736242,98473287.58825326,96164203.20452133,99418532.27109435
P00978,18391800.27877251,21269495.32493728,18780463.848771542,20880831.75493824
